time_elapsed,population_size,population_fitness
183.0,155.0,0.9310377456939954
184.0,154.0,0.9333084321165465
185.0,306.0,0.928174579453366
186.0,306.0,0.928174579453366
187.0,232.0,0.9282624312578138
188.0,194.0,0.9260147114928221
189.0,176.0,0.9340554418302858
190.0,166.0,0.9314702365860077
191.0,160.0,0.9253025467410211
192.0,158.0,0.9217625629364349
193.0,156.0,0.9242307501326974
194.0,310.0,0.9259876093202325
195.0,234.0,0.9268130463251444
196.0,197.0,0.9234665340711372
197.0,177.0,0.9330646449506542
198.0,167.0,0.9304355908228311
199.0,162.0,0.9232455325113235
200.0,159.0,0.9207369140760517
201.0,157.0,0.9231763147441803
202.0,312.0,0.9249151528126384
203.0,312.0,0.9249151528126384
204.0,236.0,0.9253882272387915
205.0,197.0,0.9234665340711372
206.0,177.0,0.9142141993709341
207.0,167.0,0.9062543333297375
208.0,162.0,0.9158458302920849
209.0,160.0,0.9197321297782282
210.0,158.0,0.9217707087104148
211.0,314.0,0.9238563581713828
212.0,236.0,0.9253882272387915
213.0,198.0,0.9226343010411593
214.0,178.0,0.9133404364201734
215.0,168.0,0.9053759408345338
216.0,163.0,0.9148816497021672
217.0,161.0,0.9187318332835529
218.0,160.0,0.9197321297782282
219.0,318.0,0.9219123563154901
220.0,317.0,0.9224272710226824
221.0,239.0,0.9234735149654014
222.0,199.0,0.9237824678272579
223.0,179.0,0.9313124173192588
224.0,169.0,0.9232099963032757
225.0,164.0,0.9216268583351821
226.0,162.0,0.9241898480600164
227.0,160.0,0.9260663268171999
228.0,318.0,0.9220459892273443
229.0,239.0,0.9197571377107863
230.0,200.0,0.8958808495987916
231.0,180.0,0.9096836306931136
232.0,170.0,0.9248159387556317
233.0,165.0,0.9147061775772096
234.0,162.0,0.9165647471819311
235.0,161.0,0.9188641923357562
236.0,320.0,0.9213267789179103
237.0,320.0,0.9213267789179103
238.0,242.0,0.9181594420927651
239.0,202.0,0.8950005673227431
240.0,183.0,0.902566896993729
241.0,173.0,0.9172682468180821
242.0,167.0,0.9181344935031605
243.0,164.0,0.9233922294677586
244.0,163.0,0.9188755326752047
245.0,324.0,0.9196169219797473
246.0,244.0,0.9168522695685254
247.0,205.0,0.8930056964956127
248.0,185.0,0.9010114104763427
249.0,175.0,0.9154558599302813
250.0,169.0,0.9162475100786909
251.0,166.0,0.9214077977167676
252.0,164.0,0.9178987574402067
253.0,326.0,0.9186296058580035
254.0,326.0,0.9186296058580035
255.0,246.0,0.9155663518820781
256.0,206.0,0.8923536513385248
257.0,187.0,0.8994891963978312
258.0,176.0,0.9145651129655383
259.0,170.0,0.915320668220202
260.0,167.0,0.9204334060785565
261.0,166.0,0.9159805120991863
262.0,330.0,0.9166908760189431
263.0,249.0,0.9136762078128422
264.0,209.0,0.8904349538667116
265.0,189.0,0.8979991984902934
266.0,178.0,0.9128136442146392
267.0,172.0,0.913499316195961
268.0,169.0,0.9185192165881063
269.0,167.0,0.915038619177248
270.0,332.0,0.9157390297425368
271.0,332.0,0.9157390297425368
272.0,251.0,0.9124412132815488
273.0,210.0,0.889807570248944
274.0,188.0,0.9037718328138795
275.0,177.0,0.9187913911783656
276.0,172.0,0.9089179415718196
277.0,169.0,0.9105967792519895
278.0,168.0,0.9127648905724413
279.0,334.0,0.9147985828227343
280.0,251.0,0.9124412132815488
