time_elapsed,population_size,average_fitness
610,466,1.6762837209980466
611,466,1.6762837209980466
612,350,1.6822622838454715
613,292,1.6818239623815885
614,262,1.677482311532596
615,247,1.6788897849693114
616,240,1.674952797777743
617,236,1.6747605810799548
618,234,1.675432304393798
619,466,1.6764690168732639
620,350,1.6708111911435204
621,293,1.6813669694591322
622,264,1.6778281866079812
623,250,1.6799863505691348
624,243,1.6805489854954205
625,239,1.6806650620092645
626,237,1.6794252119031103
627,236,1.677803377298169
628,470,1.677423615539192
629,354,1.6718986058272887
630,297,1.6825209145257705
631,267,1.682357949852812
632,252,1.6811017390710261
633,244,1.6776239504987878
634,240,1.6790125509906766
635,238,1.6779003419461629
636,474,1.6781799343165582
637,473,1.6779920538591784
638,356,1.6724331495622868
639,297,1.6672497692043824
640,267,1.6699196010776465
641,252,1.673621582048208
642,244,1.6765730166790471
643,240,1.6767395927929314
644,238,1.6771173737356664
645,474,1.6781799343165582
646,356,1.68417634675719
647,298,1.6841193862921762
648,268,1.6798096934452742
649,254,1.6816592775585446
650,246,1.6827635960776446
651,242,1.6805163686122853
652,240,1.6792907775208166
653,478,1.6789628554028
654,478,1.6789628554028
655,361,1.6853761297858905
656,302,1.68527991103165
657,273,1.6814761950567043
658,258,1.6830558624665122
659,251,1.6794075979904322
660,247,1.679296084064006
661,244,1.6794056792905425
662,243,1.6804514207029988
663,246,1.698577975845724
664,186,1.7022413169152855
665,156,1.7045180286713508
666,140,1.69895607931334
667,132,1.6978208951678715
668,128,1.697330031952823
669,125,1.6986227000575493
670,248,1.6991301485458155
671,248,1.6991301485458155
672,247,1.698855179954272
673,372,1.7022413169152824
674,341,1.7002584845457298
675,325,1.6988418833847514
676,317,1.6997825670086115
677,313,1.7002069007742684
678,311,1.700276770422917
679,310,1.700996849567497
680,248,1.6991301485458135
681,434,1.7025775101917837
682,419,1.7035704241878504
683,319,1.6990013821935015
684,269,1.7012302864605862
685,245,1.6987457143167102
686,232,1.701822590048971
687,226,1.7039269998231463
688,223,1.703814005022251
689,221,1.7039449718513264
690,440,1.7036581426749327
691,332,1.7085555401540902
692,279,1.7093995001699995
693,251,1.7076920975530387
694,238,1.7062566088380569
695,231,1.7049959755313313
696,229,1.7055660988835935
697,226,1.704214224134995
698,224,1.7047900935317597
699,446,1.7045109128271578
700,336,1.7092518717076965
701,282,1.7100127756007124
702,255,1.7086231609742777
703,241,1.707397568863474
704,233,1.7076637808859483
705,229,1.7056417738288294
706,226,1.7063388535815232
707,450,1.7050667926300902
708,449,1.7049287512090945
709,338,1.7095938570269231
710,283,1.7102143113429609
711,255,1.7077092830772644
712,240,1.7082052049276404
713,233,1.7063883594912834
714,229,1.7055152292235456
715,227,1.7039796807659995
716,452,1.7053410430638376
717,340,1.7011132456534803
718,285,1.7025056076048075
719,257,1.70114187428144
720,243,1.7047751530394586
721,235,1.7040151354711897
722,231,1.7040260967576661
723,229,1.7049680805427956
724,456,1.705882326814655
725,456,1.705882326814655
726,344,1.7018799217581726
727,288,1.7031779178449347
728,261,1.7021519205094182
729,246,1.7055345705713802
730,240,1.7076090226217884
731,235,1.7070429438631753
732,233,1.7071948818327352
733,232,1.7069368968809064
734,234,1.6946373501002288
735,177,1.694048812357776
736,148,1.6999618149374243
737,134,1.6998302052005916
738,126,1.6966200056698129
739,122,1.6965283492776009
740,120,1.6953530319212773
741,236,1.6952509945117271
742,235,1.6949454779323851
743,235,1.6949454779323851
744,354,1.6940761665402237
745,325,1.6920470125770533
746,310,1.6922454432667609
747,302,1.6934470556900976
748,298,1.693996890306054
749,296,1.6943636473236805
750,590,1.6945625102382929
751,531,1.6948867393703406
752,503,1.69552823718315
753,488,1.6939281604776315
754,394,1.6923114385279059
755,346,1.6931698124460424
756,321,1.6940364737687201
757,309,1.694830892823321
758,606,1.6948354862391553
759,603,1.6953007127761948
760,454,1.6936232022084832
761,379,1.6963011965084958
762,343,1.6948470486709064
763,324,1.6954286150397273
764,314,1.6920745660571774
765,309,1.6925641515157517
766,306,1.6939933334548656
767,305,1.6944220316448528
768,306,1.6892059310786418
769,230,1.6849304946252583
770,193,1.6853297722440204
771,174,1.6900981965116322
772,164,1.6878635532176314
773,159,1.6910183223827924
774,157,1.690049799220063
775,156,1.68955622491598
776,310,1.688275121795948
777,309,1.6880201953595044
778,233,1.6834130438619388
779,194,1.6849597405384105
780,175,1.6836567686205648
781,165,1.6841587544153727
782,160,1.6843907743716282
783,157,1.6869172170094495
784,156,1.6864035620501703
785,310,1.688275121795948
786,233,1.6920085104349727
787,195,1.6896411756001475
788,175,1.688362043944452
789,165,1.6929869654524896
790,160,1.6899158283032052
791,158,1.6889394794126507
792,157,1.6884419767932597
793,312,1.6890501763215484
794,312,1.6890501763215484
795,236,1.6933194812609524
796,197,1.6908548045563851
797,179,1.6919093713241098
798,169,1.6854693487343058
799,165,1.6866804630495043
800,162,1.6881201771385463
801,160,1.6891985225657922
802,318,1.6907868296557558
803,240,1.6945482797508873
804,202,1.6927407596578858
805,182,1.6918514390062829
806,172,1.6964910087704945
807,166,1.693211381606747
808,164,1.6923109424719875
809,163,1.6918524366549015
810,322,1.6917341658172618
811,321,1.691499545179132
812,242,1.695147445956723
813,203,1.693106802175123
814,183,1.6922623458459043
815,172,1.6964910087704945
816,167,1.693653513397467
817,164,1.6923109424719875
818,163,1.6918524366549015
819,324,1.69219906226689
820,244,1.6892748456564863
821,205,1.6914426356611576
822,185,1.6904672311569064
823,174,1.692092430451801
824,168,1.69562121579959
825,165,1.6942937580428554
826,164,1.6938501383317934
827,326,1.6926582544656026
828,326,1.6926582544656026
829,246,1.6899071427703118
830,206,1.691809649034924
831,187,1.691286270295945
832,176,1.692944191363224
833,170,1.6964615237390892
834,167,1.6951650590322465
835,166,1.6947320329381215
836,330,1.6935599409648923
837,249,1.6908365433472603
838,209,1.692889616618016
839,189,1.692087975273311
840,178,1.693776811580008
841,172,1.6972822896334832
842,169,1.696015737513013
843,167,1.6951650590322465
844,332,1.6940026364449654
845,332,1.6940026364449654
846,251,1.6914438010947483
847,210,1.6932427488753445
848,188,1.6954672073281327
849,177,1.6963612969832078
850,172,1.6957870563410586
851,169,1.6945220799922547
852,168,1.6940903817144881
853,334,1.6944400301827618
854,251,1.6914438010947483
855,211,1.6935925339074853
856,190,1.6924824985121725
857,181,1.6938396799884377
858,175,1.6951788445232523
859,172,1.6953768104124334
860,170,1.69654396167187
861,338,1.695299288886599
862,338,1.695299288886599
863,256,1.6929204337033863
864,214,1.6946222748899553
865,193,1.6973216162226634
866,182,1.6983032226335866
867,176,1.6974066093936935
868,173,1.6961989657879715
869,171,1.6953703292397957
870,340,1.695721336544072
871,256,1.6929204337033863
872,215,1.694959135893523
873,193,1.6973216162226634
874,182,1.6983032226335866
875,176,1.697406609393694
876,173,1.6961989657879715
877,172,1.6957870563410586
878,342,1.6961384479716328
879,342,1.6961384479716328
880,258,1.6934950612766702
881,216,1.6952928778137244
882,196,1.6947650972513002
883,184,1.6961660695933887
884,178,1.6996339222522543
885,175,1.6984511084779501
886,174,1.698056876971174
887,346,1.6969582045344698
